filename,class,xmin,xmax,ymin,ymax
T0001_XM_20110809100243_02.jpg,Maize,382,466,84,229
T0001_XM_20110809100243_02.jpg,Maize,29,392,1361,1607
T0001_XM_20110809100243_02.jpg,Maize,3037,3273,393,682
T0001_XM_20110809100243_02.jpg,Maize,597,691,2084,2225
T0001_XM_20110809100243_02.jpg,Maize,0,86,1042,1173
T0001_XM_20110809150249_02.jpg,Maize,16,217,1586,1802
T0001_XM_20110809150249_02.jpg,Maize,3084,3259,353,639
T0001_XM_20110809150249_02.jpg,Maize,311,476,54,198
T0001_XM_20110809150249_02.jpg,Maize,540,678,2239,2400
T0001_XM_20110809160243_02.jpg,Maize,46,325,1334,1570
T0001_XM_20110809160243_02.jpg,Maize,315,459,57,198
T0001_XM_20110809160243_02.jpg,Maize,3074,3259,360,615
T0001_XM_20110809160243_02.jpg,Maize,553,681,2057,2195
T0001_XM_20110810100243_02.jpg,Maize,2624,2691,514,645
T0001_XM_20110810100243_02.jpg,Maize,3078,3269,279,595
T0001_XM_20110810100243_02.jpg,Maize,0,254,1297,1576
T0001_XM_20110810100243_02.jpg,Maize,0,76,1025,1153
T0001_XM_20110810100243_02.jpg,Maize,2876,2920,1277,1476
T0001_XM_20110810100243_02.jpg,Maize,2748,2809,2034,2144
T0001_XM_20110810100243_02.jpg,Maize,3492,3588,2024,2151
T0001_XM_20110810100243_02.jpg,Maize,527,681,1993,2165
T0001_XM_20110810100243_02.jpg,Maize,846,927,2013,2111
T0001_XM_20110810130247_02.jpg,Maize,258,469,10,202
T0001_XM_20110810130247_02.jpg,Maize,9,268,1311,1523
T0001_XM_20110810130247_02.jpg,Maize,523,691,1997,2155
T0001_XM_20110810130247_02.jpg,Maize,846,927,1973,2097
T0001_XM_20110810130247_02.jpg,Maize,688,812,504,625
T0001_XM_20110810130247_02.jpg,Maize,2614,2668,481,598
T0001_XM_20110810130247_02.jpg,Maize,3084,3273,252,548
T0001_XM_20110810130247_02.jpg,Maize,2873,2926,1254,1455
T0001_XM_20110810130247_02.jpg,Maize,2755,2819,1997,2114
