,filename,width,height,class,xmin,ymin,xmax,ymax
0,T0001_XM_20110809100243_02jpg,3648,2736,Maize,382,466,84,229
1,T0001_XM_20110809100243_02jpg,3648,2736,Maize,29,392,1361,1607
2,T0001_XM_20110809100243_02jpg,3648,2736,Maize,3037,3273,393,682
3,T0001_XM_20110809100243_02jpg,3648,2736,Maize,597,691,2084,2225
4,T0001_XM_20110809100243_02jpg,3648,2736,Maize,0,86,1042,1173
5,T0001_XM_20110809150249_02jpg,3648,2736,Maize,16,217,1586,1802
6,T0001_XM_20110809150249_02jpg,3648,2736,Maize,3084,3259,353,639
7,T0001_XM_20110809150249_02jpg,3648,2736,Maize,311,476,54,198
8,T0001_XM_20110809150249_02jpg,3648,2736,Maize,540,678,2239,2400
9,T0001_XM_20110809160243_02jpg,3648,2736,Maize,46,325,1334,1570
10,T0001_XM_20110809160243_02jpg,3648,2736,Maize,315,459,57,198
11,T0001_XM_20110809160243_02jpg,3648,2736,Maize,3074,3259,360,615
12,T0001_XM_20110809160243_02jpg,3648,2736,Maize,553,681,2057,2195
13,T0001_XM_20110810100243_02jpg,3648,2736,Maize,2624,2691,514,645
14,T0001_XM_20110810100243_02jpg,3648,2736,Maize,3078,3269,279,595
15,T0001_XM_20110810100243_02jpg,3648,2736,Maize,0,254,1297,1576
16,T0001_XM_20110810100243_02jpg,3648,2736,Maize,0,76,1025,1153
17,T0001_XM_20110810100243_02jpg,3648,2736,Maize,2876,2920,1277,1476
18,T0001_XM_20110810100243_02jpg,3648,2736,Maize,2748,2809,2034,2144
19,T0001_XM_20110810100243_02jpg,3648,2736,Maize,3492,3588,2024,2151
20,T0001_XM_20110810100243_02jpg,3648,2736,Maize,527,681,1993,2165
21,T0001_XM_20110810100243_02jpg,3648,2736,Maize,846,927,2013,2111
22,T0001_XM_20110810130247_02jpg,3648,2736,Maize,258,469,10,202
23,T0001_XM_20110810130247_02jpg,3648,2736,Maize,9,268,1311,1523
24,T0001_XM_20110810130247_02jpg,3648,2736,Maize,523,691,1997,2155
25,T0001_XM_20110810130247_02jpg,3648,2736,Maize,846,927,1973,2097
26,T0001_XM_20110810130247_02jpg,3648,2736,Maize,688,812,504,625
27,T0001_XM_20110810130247_02jpg,3648,2736,Maize,2614,2668,481,598
28,T0001_XM_20110810130247_02jpg,3648,2736,Maize,3084,3273,252,548
29,T0001_XM_20110810130247_02jpg,3648,2736,Maize,2873,2926,1254,1455
30,T0001_XM_20110810130247_02jpg,3648,2736,Maize,2755,2819,1997,2114
31,T0001_XM_20110810130247_02jpg,3648,2736,Maize,3491,3579,1963,2081
32,T0001_XM_20110810130247_02jpg,3648,2736,Maize,227,348,988,1136
33,T0001_XM_20110810130247_02jpg,3648,2736,Maize,0,90,1005,1123
34,T0001_XM_20110810160247_02jpg,3648,2736,Maize,6,221,1318,1560
35,T0001_XM_20110810160247_02jpg,3648,2736,Maize,711,832,494,629
36,T0001_XM_20110810160247_02jpg,3648,2736,Maize,227,476,13,188
37,T0001_XM_20110810160247_02jpg,3648,2736,Maize,2621,2668,494,612
38,T0001_XM_20110810160247_02jpg,3648,2736,Maize,1841,1935,279,383
39,T0001_XM_20110810160247_02jpg,3648,2736,Maize,3071,3222,286,615
40,T0001_XM_20110810160247_02jpg,3648,2736,Maize,1253,1320,235,356
41,T0001_XM_20110810160247_02jpg,3648,2736,Maize,2839,2943,1304,1469
42,T0001_XM_20110810160247_02jpg,3648,2736,Maize,2748,2836,2013,2124
43,T0001_XM_20110810160247_02jpg,3648,2736,Maize,3461,3542,1993,2118
44,T0001_XM_20110810160247_02jpg,3648,2736,Maize,789,910,1970,2118
45,T0001_XM_20110810160247_02jpg,3648,2736,Maize,520,695,1993,2171
46,T0001_XM_20110810160247_02jpg,3648,2736,Maize,809,880,1405,1526
47,T0001_XM_20110810160247_02jpg,3648,2736,Maize,1068,1158,1331,1486
48,T0001_XM_20110810160247_02jpg,3648,2736,Maize,0,46,1005,1143
49,T0001_XM_20110810160247_02jpg,3648,2736,Maize,261,369,998,1153
50,T0001_XM_20110811090244_02jpg,3648,2736,Maize,399,607,1993,2228
51,T0001_XM_20110811090244_02jpg,3648,2736,Maize,12,143,1388,1640
